id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
56290,Italy,"Mediterra opens with intense aromas of bell pepper, red currants, sage and black pepper. The round palate offers lush plum and blackberry layered with nutmeg, clove and pepper. Pair it with a variety of foods including cured meats and medium aged cheeses.",Mediterra,89,25,Tuscany,Toscana,,Kerin O???Keefe,@kerinokeefe,Poggio al Tesoro 2011 Mediterra Red (Toscana),Red Blend,Poggio al Tesoro
40766,Spain,"A green, struggling wine from front to back. The nose kicks up underripe aromas to go with distant red fruit, while the palate is edgy and prickly, with high acidity creating snappy cherry and green flavors.",Esenzia,82,9,Northern Spain,Vino de la Tierra del Bajo Arag?_n,,Michael Schachner,@wineschach,Bodegas y Vinos de L??cera NV Esenzia Garnacha (Vino de la Tierra del Bajo Arag?_n),Garnacha,Bodegas y Vinos de L??cera
109977,US,"All stainless, no malolactic and widely available distribution make this a pure-blooded warm weather go-to white wine. It's young and still a bit yeasty, aromatic with scents of seeds and grains. Tightly wound fruit flavors of apple and green melon come with good depth and texture.",Estate Grown,89,20,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine?,WillaKenzie Estate 2016 Estate Grown Pinot Gris (Willamette Valley),Pinot Gris,WillaKenzie Estate
2553,US,"Sharp aromas of peach blossoms, honeyed nuts and lemon balm make for a fruity yet biting nose on this blend of 58% Grenache Blanc from Happy Canyon and 42% Viognier from San Luis Obispo County. Ripened stonefruit flavors are cut with a sizzle of acidity and warmth of sea salt and candied Meyer lemon on the palate.",The River,89,24,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Barton 2014 The River White (Central Coast),Rh??ne-style White Blend,Barton
2917,US,"This is a fairly light, bright Pinot Noir with the marks of a ripe year and time spent in oak. It is crafted under the guidelines of a certified sustainable grape growing program. Medium-bodied and juicy, it's fairly priced and ready to enjoy now.",Appellation Series,86,29,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Benziger 2012 Appellation Series Pinot Noir (Sonoma Coast),Pinot Noir,Benziger
74394,France,"Not many Grand Cru wines are made into a Sec style of Champagne. This wine is more soft than sweet, with plenty of acidity as well as a touch of honey. Soft and round at the end, the wine is balanced and ready to drink.",Tendresse Grand Cru Sec,88,55,Champagne,Champagne,,Roger Voss,@vossroger,Jean Milan NV Tendresse Grand Cru Sec (Champagne),Champagne Blend,Jean Milan
18434,Austria,"This is an intense expression of steely Riesling, with a complex structure and excellent aging potential. It is full of citrus, pear and crisp pineapple flavors that are laced with concentrated acidity. Age for at least five years. Screwcap.",Moosburgerin Reserve,91,41,Kremstal,,,Roger Voss,@vossroger,Buchegger 2010 Moosburgerin Reserve Riesling (Kremstal),Riesling,Buchegger
30988,Italy,"It's hard not to be a big fan of Giacomo Vico's beautiful Chardonnay. The wine marries the cool-climate characteristics of the Langhe (Piedmont) with a round, opulent and rich winemaking style. You'll recognize loads of yellow fruit and rose with a playful touch of sweet vanilla.",,88,22,Piedmont,Langhe,,,,Giacomo Vico 2010 Chardonnay (Langhe),Chardonnay,Giacomo Vico
10401,Spain,"Roasted and rubbery, this features potent leather and compost aromas that settle with airing. Angular, aggressive and full of power and lemony oak, it also has raw wood and heavily toasted black-fruit flavors. Long, peppery and choppy, it's powerful and stomping. Best to hold this for 3???5 years before drinking, when it should emerge as a better, more approachable wine.",Expresi?_n,91,70,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Alidis 2009 Expresi?_n (Ribera del Duero),Tempranillo,Alidis
20381,France,The sand and granite soil of the Brand vineyard gives an intensely structured wine that's tight and steely. It's rich with apricot and pear flavors made crisp with refreshing acidity. Drink from 2015.,Brand Grand Cru,93,27,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Charles Baur 2010 Brand Grand Cru Riesling (Alsace),Riesling,Domaine Charles Baur
86405,Germany,"Whiffs of bamboo leaf, lime zest and green herb invite and invigorate on this light-bodied, off-dry Riesling. The palate is juicy and concentrated, an easy going yet tangy mix of tangerine, lemon and salty minerality that lingers long through the finish. Proceeds benefit Nashville's homeless people and pets.",Rockin Riesling The FOH Nashville Project,90,16,Mosel,,,Anna Lee C. Iijima,,Von Schleinitz 2015 Rockin Riesling The FOH Nashville Project Riesling (Mosel),Riesling,Von Schleinitz
11149,France,"This is a young, fruity wine with bright acidity and red berry fruit that comes across as lean. Its structure and tannic core suggests it needs to age. Drink from 2019.",Grande Cuv??e,89,20,Burgundy,Bourgogne Hautes C??tes de Nuits,,Roger Voss,@vossroger,Nuiton-Beaunoy 2015 Grande Cuv??e (Bourgogne Hautes C??tes de Nuits),Pinot Noir,Nuiton-Beaunoy
34545,Italy,"Castello Banfi's delicious Cum Laude is a super Tuscan blend of Cabernet Sauvignon, Merlot, Sangiovese and Syrah that opens with rich aromas of black fruit and chocolate fudge. The 30% Cabernet Sauvignon component adds background notes of exotic spice, moist tobacco and firm tannins.",Cum Laude,92,37,Tuscany,Toscana,,,,Castello Banfi 2006 Cum Laude Red (Toscana),Red Blend,Castello Banfi
60026,US,"Austin Hope's latest releases are all about power and ripeness, and this blend of 35% Grenache, 35% Mourv??dre and 30% Syrah achieves balance and elegance amidst that strength. Cuban coffee, fig jam, dried blueberry and chocolate aromas lead into a pillowy-soft palate that's layered with espresso, cocoa, roasted fig and plum jam flavors. Steady acidity and finely chiseled tannins frame it all.",Avery #3 The Magic Sun,95,75,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,Austin Hope 2014 Avery #3 The Magic Sun G-S-M (Templeton Gap District),G-S-M,Austin Hope
1557,US,"A stupendous Pinot Noir, showing how beautifully this vineyard performs in the remote Sonoma Coast above Fort Ross. Williams Selyem's last few vintages of Precious Mountain have been extraordinary, but this 2009 tops them all. The wine is as light as a feather in the mouth, modest in alcohol and delicately feminine, like pure satin. However, few Pinot Noirs in the world achieve this level of concentration. Wild raspberries and cherries, cola, sleek minerals, dusty baking spices and smoky oak combine for flavors that are utterly delicious. After all that, it possesses an indefinable attribute of fascination. Will age well for a long time, if you can keep your hands off it. Now???2021.",Precious Mountain Vineyard,99,94,California,Sonoma Coast,Sonoma,,,Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
19125,US,"Firmly tannic and rather mouth-numbing even at five years of age. Enters with a hard edge and finishes tough and gritty. Will it age? There are some black cherry flavors inside, but it's a gamble.",La Joie,85,100,California,Sonoma County,Sonoma,,,Verit?? 1998 La Joie Red (Sonoma County),Red Blend,Verit??
69447,France,"The wine is initially soft and then begins to show a more steely, mineral character. That gives structure as well as citrus and crisp apple skin flavors. Very tight at this stage, it needs to develop, so give it until 2015.",Lieu-dit Les Epinats,87,,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2013 Lieu-dit Les Epinats (Saumur),Chenin Blanc,Cave de Saumur
104907,US,"With 8.1% residual sugar, this is a sweet wine. Honey flavors dominate, with underlying notes of apricots, tangerines and golden mangoes. It could be more concentrated and intense, but the sweetness is attractive. Drink now.",Late Harvest Sweet,87,35,California,Anderson Valley,,,,Navarro 2009 Late Harvest Sweet Gew?_rztraminer (Anderson Valley),Gew?_rztraminer,Navarro
62795,Austria,"Ripe pear and yellow plum vie for prominence on the nose, while the palate is full of savory, peppery kitchen herbs like chervil, lovage and dried sage. The midpalate phenolic texture destines this for the table where it will shine with subtly spiced dishes. Wonderfully complex and long.",,93,22,Vienna,,,Anne Krebiehl?MW,@AnneInVino,Wieninger 2013 Gr?_ner Veltliner (Vienna),Gr?_ner Veltliner,Wieninger
110765,US,"There's a seemingly sweet edge to the lemon, lime and vanilla flavors, which are fortunately balanced with crisp acidity. Fans of richly styled white wines will like this bottling.",Vintner's Reserve,84,13,California,California,California Other,,,Kendall-Jackson 2011 Vintner's Reserve Sauvignon Blanc (California),Sauvignon Blanc,Kendall-Jackson
120771,France,"The master of Savigny-l??s-Beaune, Bize has produced a powerful, expressive wine from this small single vineyard. It has serious structure, although the sumptuous black-fruit flavors are already showing. Concentrated, rich and fruity, this will age for at least five years.",Aux Grands Liards,92,46,Burgundy,Savigny-l??s-Beaune,,Roger Voss,@vossroger,Simon Bize 2010 Aux Grands Liards (Savigny-l??s-Beaune),Pinot Noir,Simon Bize
64471,US,"A strong hazelnut aroma meets poached pear and cotton candy on the nose of this bottling, giving a rich yet tightly woven impression. The palate is oily in texture, with walnut, dried apricot and browned apple flavors.",,88,30,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Portola Vineyards 2014 Chardonnay (Santa Cruz Mountains),Chardonnay,Portola Vineyards
93506,US,"Palazzio is Testarossa's blend of various vineyards. It showcases a regional Central Coast personality, and a fine one at that. The '06 has elements of ripe cherries, raspberries and root beer, enriched with smoky oak, and appeals for its silky, crisp mouthfeel. Best now and for a year or two.",Palazzio,88,37,California,Central Coast,Central Coast,,,Testarossa 2006 Palazzio Pinot Noir (Central Coast),Pinot Noir,Testarossa
67751,Spain,"Minerally lime and peach-pit aromas set up a crisp, stony, elegant palate with lees-based flavors of vanilla that are softly matched by melon and papaya. Fresh and not too demanding, it's made from 70% Garnatxa Blanca and 30% Macabeo (Viura).",Blanc,88,20,Catalonia,Terra Alta,,Michael Schachner,@wineschach,Jaspi 2012 Blanc White (Terra Alta),White Blend,Jaspi
14744,Portugal,This is a southern and warmer take on Alvarinho than is found in northern Portugal. It brings out the ripe perfumed character of the grape. Apricot and golden plums show both the fruit and the generous texture. Drink this wine starting from late 2017.,Grand'Arte,90,13,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2016 Grand'Arte Alvarinho (Lisboa),Alvarinho,DFJ Vinhos
129610,Italy,"La Fagiana is a bright, ruby-colored wine with aromas of forest fruit and bramble, with white almond and spice at the back. It's an easy, no-fuss expression with a clean, tart close.",La Fagiana,84,,Tuscany,Toscana,,,,Fattoria di San Quintino 2008 La Fagiana Red (Toscana),Red Blend,Fattoria di San Quintino
96808,Spain,"Right away you know this Syrah-Petit Verdot is a powerful wine. The bouquet is pointed and blasts away with cherry, berry, spice and oak aromas. It's thick, pushy and full-bodied, with minty, toasty oak flavors running side by side with blackberry. On the finish, it's more charred and toasty, with peppery spice and some heat. Drink now???2015.",,90,35,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Finca Constancia 2010 Syrah-Petit Verdot (Vino de la Tierra de Castilla),Syrah-Petit Verdot,Finca Constancia
120382,France,"A fruity wine, full of grapefruit, lime and melon flavors, cut with passion fruit acidity. The wine has a light texture with a zesty edge, clean and totally ready to drink. Screwcap.",,86,12,Loire Valley,Touraine,,Roger Voss,@vossroger,Villebois 2010 Sauvignon Blanc (Touraine),Sauvignon Blanc,Villebois
60731,Argentina,"Cherry and plum aromas are aggressive. This energetic Malbec is beyond snappy and juicy, while salty plum and currant flavors are racy and edgy. A briny aftertaste and peppery spice flavors dominate a tough finish.",Leo,84,17,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Valentin Bianchi 2013 Leo Malbec (Mendoza),Malbec,Valentin Bianchi
40392,US,"Aromas like white pepper and dried herbs lead to ripe, direct fruit flavors and a feeling of power from the very full body.",Old Vine,87,15,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Rail2Rail 2014 Old Vine Zinfandel (Lodi),Zinfandel,Rail2Rail
93338,US,"A light yet concentrated Pinot Noir, this has a cherry flavor and a spicy texture. Give it some air to allow the better side of its earthy aromas time to unravel.",Unfiltered,87,34,California,Anderson Valley,,Virginie Boone,@vboone,Philo Ridge 2009 Unfiltered Pinot Noir (Anderson Valley),Pinot Noir,Philo Ridge
83505,Australia,"A pretty, relatively lightweight Pinot Noir, this offering from Western Australia starts off with hints of coffee and sour cherries, then develops more herbal notes and brown sugar with air. Flavors of cola, tart cherries and root vegetables finish a bit short.",,86,36,Western Australia,Pemberton,,Joe Czerwinski,@JoeCz,Salitage 2005 Pinot Noir (Pemberton),Pinot Noir,Salitage
95710,France,"Full of mango and starfruit flavors to go with the nuts, spice and ripe texture. The wine, made from organic grapes, has richness as much as sweetness, the acidity an important element. For long-term aging.",L'Etoile Moelleux,89,22,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine du Petit Coteau 2008 L'Etoile Moelleux (Vouvray),Chenin Blanc,Domaine du Petit Coteau
33240,Germany,"Dancing on the nose and palate, this Pinot Noir ros?? fills the glass with whiffs of cherry blossoms and sugar cookies. Tart red-cherry and berry flavors are delicate and spry on the palate, lingering nervously in a luscious mousse of soft, rolling bubbles. Finishes elegantly with a bristle of stony minerals.",Sp?_tburgunder Ros?? Sekt Brut,92,35,Rheingau,,,Anna Lee C. Iijima,,Peter Jakob K?_hn 2012 Sp?_tburgunder Ros?? Sekt Brut Pinot Noir (Rheingau),Pinot Noir,Peter Jakob K?_hn
48471,US,"This wine from the recently approved El Pomar District is tropically perfumed with lychee candy and a hint of passionfruit. Bouncy acidity on the front of the palate leads into red apple fruit and citrus skin bitterness, and wipes up with a zing on the palate.",Estate,88,25,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pomar Junction 2013 Estate Viognier (Paso Robles),Viognier,Pomar Junction
127051,France,Bright red fruit highlights this soft wine. Acidity and hint of stalky tannins give its red berry flavors a boost. It's easygoing and ready to drink.,,85,10,France Other,Vin de France,,Roger Voss,@vossroger,Fat Bastard 2016 Malbec (Vin de France),Malbec,Fat Bastard
90489,US,"This blend of 58% Petite Sirah and 42% Zinfandel provides a good example of a winery going over the top and succeeding. Aromas recall blackberry-laced tea, dried rose petals and Luxardo cherries. Cassis provides the centerpoint of the flavor profile, with a backbone of ample tannins and touch of tar.",The Maneater Derby Vineyard,93,30,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Derby 2011 The Maneater Derby Vineyard Red (Paso Robles),Red Blend,Derby
55320,US,"A little one-dimensional, but offers enough cherry, red currant and smoky oak flavors to get by for everyday eating. A good example of the art of blending, with 115,000 cases produced.",Coastal Estates,84,11,California,California,California Other,,,Beaulieu Vineyard 2011 Coastal Estates Merlot (California),Merlot,Beaulieu Vineyard
90041,Portugal,"This blend of Touriga Nacional and Castel??o has produced an impressive wine that is packed with rich tannins and a dark brooding structure. Intense acidity cuts through the rich, powerful texture to give a fresh aftertaste. It is still young, so drink from 2018.",Terras do Anjo Tinto,93,30,Lisboa,,,Roger Voss,@vossroger,Quinta do Pinto 2012 Terras do Anjo Tinto Red (Lisboa),Portuguese Red,Quinta do Pinto
53575,Argentina,Citrus blossom and leesy vanilla notes open this balanced aromatic white from Argentina's north. Leesy tropcial-fruit flavors focus on lychee and lime. The wine is moderately long on a simple but solid finish.,Estate,89,15,Other,Salta,,Michael Schachner,@wineschach,Colom?? 2016 Estate Torront??s (Salta),Torront??s,Colom??
114997,France,"In hommage to the man who pioneered the use of oak to ferment Sauvignon Blanc, this wood-fermented and matured wine is only produced in the best years. It is rich and just toasty, but equally about the structured mineral texture and ripe citrus. It is a wine to age, so drink from 2018.",Etienne Henri,94,65,Loire Valley,Sancerre,,Roger Voss,@vossroger,Henri Bourgeois 2013 Etienne Henri (Sancerre),Sauvignon Blanc,Henri Bourgeois
91714,US,"This inviting Pinot is broadly ripe and fully lush in earthy, spicy layers, dark cherry and plum that plays across the palate. With a long, substantial finish, iot suits pork roasts and bacon-wrapped scallops.",,89,65,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Guarachi Family 2012 Pinot Noir (Sonoma Coast),Pinot Noir,Guarachi Family
61149,Australia,"A terrific value if you can find it (alas, only 150 cases were imported), this is full bodied and richly textured, marrying hints of peppery spice with grilled lavender and rosemary that perfectly season the beach cherry and mocha flavors. It's stout, tannic and mouth coating on the finish, ideal for matching with roasts or steaks. Drink 2018???2025.",Terra Barossa,91,15,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Thorn Clarke 2013 Terra Barossa Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Thorn Clarke
116359,US,"Earthy tones of smoke and hazelnuts give way to bright white peach and grapefruit notes on the nose and palate of this fruitful Pinot Gris. Off dry in style, it's a tad sugary on the midpalate, but finishes fairly dry with a refreshing shower of lemony acidity. Drink now.",,85,16,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Billsboro 2010 Pinot Gris (Finger Lakes),Pinot Gris,Billsboro
19302,Portugal,"One of the strengths of cool Beira Interior is that it produces powerful wines without the attendant alcohol of warmer climates. That's apparent with this intense, dark wine. Blending Touriga Nacional and Tinta Roriz, the dense and brooding wine with its rich blackberry fruitiness alongside dry, mineral tannins is a study in concentration and needs to age. Drink from 2018.",Quinta do Cardo Grande Escolha,94,55,Beira Interior,,,Roger Voss,@vossroger,Companhia das Quintas 2011 Quinta do Cardo Grande Escolha Red (Beira Interior),Portuguese Red,Companhia das Quintas
96584,Spain,". Its mouthfeel smacks hard with acidity, leaving a crisp expression of strawberry, raspberry and herb flavors. It turns warm, lactic and chocolaty on the finish.",Veraz,84,8,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Bodegas Aletta 2010 Veraz Garnacha (Campo de Borja),Garnacha,Bodegas Aletta
13218,Brazil,"This leesy, bready, heavily toasted Brazilian sparkler offers heady vanilla and caramel notes on the nose. A round, plump, soda-like palate is home to toasty, leesy, lightly oxidized apple flavors that finish briny, bready and marginally fresh. Drink now.",Brut 130,86,20,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Casa Valduga NV Brut 130 (Vale dos Vinhedos),Champagne Blend,Casa Valduga
127787,US,"Very tart, with a deep, tannic, earthy mineral streak. There's an iron/earth streak running through all Abacela wines; here it comes across as iron and slightly bitter licorice. This is still very young and green; the score might well improve with more time in the bottle.",,86,18,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine?,Abacela 1999 Merlot (Umpqua Valley),Merlot,Abacela
105296,Argentina,"Creamy and rooty at first, and then smokier and darker as it settles. For young Malbec it displays both a jammy fruit side and an acidic center. So there's both ripeness and heft but also a piercing sizzle. Perfectly good for parties and less-serious imbibing.",,85,11,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Budini 2007 Malbec (Mendoza),Malbec,Budini
55586,France,"While there is a somewhat meaty edge to this wine, it also has good rich texture. It probably needs time to bring out the full potential of its ripe yellow fruits.",En Carementrant,88,48,Burgundy,Pouilly-Fuiss??,,Roger Voss,@vossroger,Bret Brothers 2008 En Carementrant (Pouilly-Fuiss??),Chardonnay,Bret Brothers
71912,France,"A pure, fresh line runs through this delicate ros??. It shows more white fruits than red, just hinting at red currants, but more of fresh white berries. There is just some hint of sweetness, more from the fruit of 2003 than from any extra dosage.",Brut Ros??,92,70,Champagne,Champagne,,Roger Voss,@vossroger,Louis Roederer 2003 Brut Ros?? (Champagne),Champagne Blend,Louis Roederer
75608,US,"First bottle corked. Second bottle sound, but rather one dimensional. The fruit is simple green apple and green berry; but there is a distinct earthy undertone that carries into the finish. If new oak barrels were used, they are not evident.",Estate,85,20,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine?,Gilbert Cellars 2007 Estate Chardonnay (Wahluke Slope),Chardonnay,Gilbert Cellars
92938,Greece,"Lemon zest, lime and melon aromas lead this elegant white blend. Zesty citrus and lush melon on the palate offers a refined character that is nonetheless fine for everyday enjoyment. The finish is expressive and slightly floral.",Ovilos,87,38,Pangeon,,,Susan Kostrzewa,@suskostrzewa,Estate Biblia Chora 2011 Ovilos White (Pangeon),White Blend,Estate Biblia Chora
58990,Portugal,"The wine has the correct texture and attractive perfumes for a delicate Riesling. The crisp apple and tight mineral flavors are light and floating. It's a surprising wine for the Lisbon region, but it works so well.",,88,17,Lisboa,,,Roger Voss,@vossroger,Quinta de Sant'Ana 2013 Riesling (Lisboa),Riesling,Quinta de Sant'Ana
8560,US,"Deep aromas of hibiscus, rose buds, dark red berries and sugar plums are spiced up by cola, crushed pencils and lots of garrigue on this bottling. The palate is clean and crisp, with snappy raspberry, light cranberry and lots more chaparral-like herbs, including wild thyme, bay laurel, lavender and fennel pollen.",Stone Corral Vineyard,93,48,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Kynsi 2013 Stone Corral Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi
46248,US,"Off-dry with a candied orange character, this is indeed a m??lange, including portions of seven different white wine grapes. It's an interesting wine, though might prove a bit challenging to match to food. Perhaps a curry?",M??lange Blanc,86,15,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?,Waterbrook 2008 M??lange Blanc White (Columbia Valley (WA)),White Blend,Waterbrook
69042,Italy,"A spicy, creamy wine that manages to give freshness and intense varietal character at the same time. The overall effect is of lightness and elegance as well as spiciness and richness.",Kolbenhof,89,26,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,J. Hofstatter 2002 Kolbenhof Gew?_rztraminer (Alto Adige),Gew?_rztraminer,J. Hofstatter
76789,France,"This is a plump, medium-bodied ros?? at a reasonable price. Pomelo or grapefruit notes combine with stone fruit, then finish stony-dry and tart.",Prestige,87,13,Rh??ne Valley,C??tes du Rh??ne,,Joe Czerwinski,@JoeCz,La Ch??sse 2016 Prestige Ros?? (C??tes du Rh??ne),Ros??,La Ch??sse
70406,US,"Bold and ripe in cherry jam flavors. Oak brings buttered toast to the mix. Delicious and savory, this Pinot is solidly in the ripe California style of forward fruit and immediate flash. Drink now and through 2014.",Six Sixty Seven,90,52,California,Santa Cruz Mountains,Central Coast,,,Heart O' The Mountain 2008 Six Sixty Seven Pinot Noir (Santa Cruz Mountains),Pinot Noir,Heart O' The Mountain
36522,Spain,"Bland, sweet aromas are not persuasive. This feels cloying and sticky due to a lot of sugar and not much acidity. Soapy, sweet flavors finish with bitter notes.",,81,9,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Love 2015 Moscato (Vino de la Tierra de Castilla),Moscato,Love
52865,US,"La Casita is made entirely from Dijon clone 114. It's a total ???wow??? wine, from the very first sip. Rich black cherry, chocolate and caramel flavors wrap tightly together. That firm and full-bodied richness continues through the midpalate. Enjoy this outstanding bottle over the next three or four years.",La Casita,92,60,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine?,Durant 2014 La Casita Pinot Noir (Dundee Hills),Pinot Noir,Durant
78138,US,"A mind-bending array of aromas come to play in this bottling by Winemaker Billy Wathen, with savory tones of crushed pepper, teriyaki, fresh but underripe berry fruit, piquant forest underbrush, wet chaparral and raw lamb gaminess. It's surprisingly light and lithe on the lovely palate, with black peppercorn, thyme, lavender and complex beef-stew notes.",Williamson-Dor?? Vineyard,94,46,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Foxen 2013 Williamson-Dor?? Vineyard Syrah (Santa Ynez Valley),Syrah,Foxen
114873,New Zealand,"Most barrel-fermented Marlborough Sauvignons will set you back close to twice as much, making this a bargain. Awesomely pungent and smoky aromas leap from the glass, followed by complex flavors that range from saline to pink grapefruit and stone fruit. Drink this full-bodied, silky-textured wine over the next year or two.",Barrel Fermented,92,20,Marlborough,,,Joe Czerwinski,@JoeCz,Jules Taylor 2011 Barrel Fermented Sauvignon Blanc (Marlborough),Sauvignon Blanc,Jules Taylor
26464,US,"Very, sweet, with molasses, oatmeal cookie, blackberry jam, chocolate, vanilla and spice flavors. Could be more concentrated for the sweetness. The blend is mainly Petite Sirah, with the balance comprised of traditional Port varieties.",Noble Companion 10 Year Old Tawny,88,55,California,Napa Valley,Napa,,,Prager NV Noble Companion 10 Year Old Tawny Port (Napa Valley),Port,Prager
127241,Chile,"The punchy nose brings spice notes that are sharp on the inhale. This is tight on the palate, with tartaric acid rising up through a medium-weight body. Black plum, cherry, oak and spice flavors finish dry but hollow.",,87,20,Colchagua Valley,,,Michael Schachner,@wineschach,Primus 2013 Carmen??re (Colchagua Valley),Carmen??re,Primus
98475,Italy,"Ripe, black-skinned fruit, dark spice and chopped herbs abound on this structured red. The big, bold palate offers ripe black cherry, blackberry extract, mocha and licorice while round tannins envelop the palate.",,91,72,Veneto,Amarone della Valpolicella Classico,,Kerin O???Keefe,@kerinokeefe,Le Salette 2012 Amarone della Valpolicella Classico,Red Blend,Le Salette
93779,Austria,"Pepper and power mark this impressively rich wine. Tropical fruits, mangos and lychees are layered with minerality and acidity. A wine that needs some aging in order to release the full potential of its structure and fruit weight.",Ried Sch?_tt Smaragd,94,50,Wachau,,,Roger Voss,@vossroger,Emmerich Knoll 2006 Ried Sch?_tt Smaragd Gr?_ner Veltliner (Wachau),Gr?_ner Veltliner,Emmerich Knoll
